value	colour	label
4232	rgb(221,243,121)	Dehalogenimonas sp. WBC-2
5097	rgb(243,198,121)	Desulfatibacillum alkenivorans AK-01
2825	rgb(121,243,152)	Opitutus terrae PB90-1
3471	rgb(243,198,121)	Geobacter
7515	rgb(121,243,234)	Methanosaeta harundinacea 6Ac
2476	rgb(196,243,121)	Rubinisphaera brasiliensis DSM 5305
2802	rgb(121,243,127)	Truepera radiovictrix DSM 17093
2482	rgb(243,121,191)	Thermovirga lienii DSM 17291
3774	rgb(188,121,243)	Thermofilum pendens Hrk 5
2632	rgb(121,243,234)	Methanoregula boonei 6A8
79467	rgb(243,121,232)	Dictyoglomus thermophilum H-6-12
2799	rgb(121,243,234)	Aciduliprofundum boonei T469
2362	rgb(121,243,234)	Methanothermobacter marburgensis str. Marburg
3273	rgb(243,198,121)	Desulfobacterium autotrophicum HRM2
3186	rgb(221,243,121)	Roseiflexus sp. RS-1
3300	rgb(121,243,234)	Methanocella arvoryzae MRE50
9114	rgb(243,157,121)	Melioribacter roseus P3M-2
35782	rgb(121,243,193)	Pseudothermotoga hypogea DSM 11164 = NBRC 106472
3686	rgb(121,243,234)	Methanothermus fervidus DSM 2088
3985	rgb(243,121,216)	Caldicellulosiruptor kristjanssonii I77R1B
3632	rgb(221,243,121)	Sphaerobacter thermophilus DSM 20745
3343	rgb(243,198,121)	Desulfarculus baarsii DSM 2075
2931	rgb(121,227,243)	Thaumarchaeota archaeon SAT1
4282	rgb(196,243,121)	Pirellula staleyi DSM 6068
3118	rgb(121,186,243)	Deferribacter desulfuricans SSM1
2956	rgb(243,121,216)	Ruminiclostridium thermocellum
5405	rgb(243,121,216)	Ammonifex degensii KC4
2537	rgb(121,243,218)	Candidatus Cloacimonas acidaminovorans str. Evry
2360	rgb(243,198,121)	Desulfurivibrio alkaliphilus AHT 2
10045	rgb(147,121,243)	Caldisericum exile AZM16c01
150634	rgb(228,121,243)	Thermodesulfovibrio yellowstonii DSM 11347
5488	rgb(121,243,127)	Thermus oshimai JL-2
13033	rgb(121,243,193)	Fervidobacterium
2356	rgb(243,121,216)	Syntrophomonas wolfei subsp. wolfei str. Goettingen G311
8453	rgb(121,243,193)	Pseudothermotoga thermarum DSM 5069
2671	rgb(243,121,216)	Caldicellulosiruptor lactoaceticus 6A
52862	rgb(121,243,193)	Fervidobacterium pennivorans DSM 9078
2481	rgb(243,157,121)	Chloroherpeton thalassium ATCC 35110
2874	rgb(121,243,234)	Methanothermobacter
3242	rgb(243,121,216)	Caldicellulosiruptor owensensis OL
4175	rgb(121,243,234)	Geoglobus acetivorans
4546	rgb(243,121,150)	Sulfurihydrogenibium sp. YO3AOP1
2475	rgb(243,121,216)	Symbiobacterium thermophilum IAM 14863
2503	rgb(188,121,243)	Thermogladius cellulolyticus 1633
39174	rgb(121,243,234)	Methanolinea tarda NOBI-1
7538	rgb(221,243,121)	Thermomicrobium roseum DSM 5159
94082	rgb(121,243,193)	Fervidobacterium nodosum Rt17-B1
2620	rgb(188,121,243)	Ignicoccus hospitalis KIN4/I
2481	rgb(221,243,121)	Chloroflexus aggregans DSM 9485
3632	rgb(243,121,191)	Anaerobaculum mobile DSM 13181
4513	rgb(243,121,216)	Caldicellulosiruptor hydrothermalis 108
8932	rgb(243,198,121)	Desulfomonile tiedjei DSM 6799
3347	rgb(243,121,216)	Thermoanaerobacter
5179	rgb(121,243,127)	Thermus aquaticus Y51MC23
3544	rgb(243,198,121)	Desulfococcus oleovorans Hxd3
3093	rgb(243,121,216)	Tepidanaerobacter acetatoxydans Re1
2607	rgb(243,198,121)	Desulfurella acetivorans A63
11869	rgb(243,121,125)	Thermodesulfobacterium geofontis OPF15
2550	rgb(121,161,243)	Fimbriimonas ginsengisoli Gsoil 348
2956	rgb(163,121,243)	Candidatus Koribacter versatilis Ellin345
2600	rgb(121,243,193)	Mesotoga prima MesG1.Ag.4.2
2614	rgb(121,243,234)	Aciduliprofundum sp. MAR08-339
32105	rgb(121,243,193)	Thermotoga caldifontis AZM44c09
3383	rgb(163,121,243)	Chloracidobacterium thermophilum B
2921	rgb(121,243,234)	Methanoregula formicica SMSP
2379	rgb(122,121,243)	Spirochaeta thermophila
7636	rgb(121,243,234)	Ferroglobus placidus DSM 10642
2547	rgb(121,243,234)	Euryarchaeota
71618	rgb(121,243,193)	Thermotoga profunda AZM34c06
4490	rgb(243,121,216)	Desulfotomaculum gibsoniae DSM 7213
30598	rgb(243,121,232)	Dictyoglomus
4025	rgb(156,243,121)	Thermobaculum terrenum ATCC BAA-798
4641	rgb(188,121,243)	Thermofilum
2703	rgb(221,243,121)	Roseiflexus castenholzii DSM 13941
3463	rgb(243,121,216)	Candidatus Desulforudis audaxviator MP104C
2806	rgb(243,121,216)	Coprothermobacter proteolyticus DSM 5265
7393	rgb(243,121,166)	Candidatus Korarchaeum cryptofilum OPF8
4342	rgb(121,243,234)	Geoglobus ahangari
